Customer_Name,Customer_ID,Order_ID,Order_Date,Amount
Greg Maxwell,GM-14695,CA-2011-102988,4/5/2011,28.99
Greg Maxwell,GM-14695,CA-2011-102988,4/5/2011,"4,164.05"
Alejandro Grove,AG-10270,CA-2011-103058,7/23/2011,99.98
Evan Bailliet,EB-14170,CA-2011-103086,10/17/2011,5.31
Adrian Barton,AB-10105,CA-2011-103100,12/20/2011,3.69
Adrian Barton,AB-10105,CA-2011-103100,12/20/2011,"1,103.97"
Vivek Grady,VG-21805,CA-2011-103191,9/22/2011,331.54
Benjamin Farhat,BF-11215,CA-2011-103219,11/9/2011,56.52
Greg Matthias,GM-14680,CA-2011-103310,5/10/2011,39.96
Greg Matthias,GM-14680,CA-2011-103310,5/10/2011,41.04
Greg Matthias,GM-14680,CA-2011-103310,5/10/2011,256.78
Greg Matthias,GM-14680,CA-2011-103310,5/10/2011,"1,432.00"
Don Miller,DM-13525,CA-2011-103317,7/5/2011,9.81
Don Miller,DM-13525,CA-2011-103317,7/5/2011,19.52
Don Miller,DM-13525,CA-2011-103317,7/5/2011,213.22
Karl Braun,KB-16315,CA-2011-103331,8/26/2011,3.38
Karl Braun,KB-16315,CA-2011-103331,8/26/2011,10.68
Karl Braun,KB-16315,CA-2011-103331,8/26/2011,17.34
Erica Hackney,EH-13990,CA-2011-103366,1/16/2011,149.95
Bruce Stewart,BS-11755,CA-2011-103373,5/18/2011,779.8
Georgia Rosenberg,GR-14560,CA-2011-103401,11/21/2011,12.96
Laurel Workman,LW-16825,CA-2011-103429,5/30/2011,25.58
Laurel Workman,LW-16825,CA-2011-103429,5/30/2011,39.96
Laurel Workman,LW-16825,CA-2011-103429,5/30/2011,235.95
Laurel Workman,LW-16825,CA-2011-103429,5/30/2011,464
Craig Molinari,CM-12715,CA-2011-103492,10/10/2011,0.9
Craig Molinari,CM-12715,CA-2011-103492,10/10/2011,11.98
Craig Molinari,CM-12715,CA-2011-103492,10/10/2011,719.95
Craig Molinari,CM-12715,CA-2011-103492,10/10/2011,755.94
Jeremy Lonsdale,JL-15505,CA-2011-103590,11/30/2011,62.28
Mitch Webber,MW-18220,CA-2011-103660,8/25/2011,"1,007.94"
Art Foster,AF-10885,CA-2011-103702,9/12/2011,63.92
Michael Grace,MG-17875,CA-2011-103744,2/24/2011,4.43
Michael Grace,MG-17875,CA-2011-103744,2/24/2011,6.94
Elizabeth Moffitt,EM-13825,CA-2011-103807,12/2/2011,5.95
Paul Gonzalez,PG-18895,CA-2011-103849,5/11/2011,58.11
Paul Gonzalez,PG-18895,CA-2011-103849,5/11/2011,66.11
Paul Gonzalez,PG-18895,CA-2011-103849,5/11/2011,100.79
Bradley Nguyen,BN-11515,CA-2011-103940,9/17/2011,30.28
Bradley Nguyen,BN-11515,CA-2011-103940,9/17/2011,35.34
Bradley Nguyen,BN-11515,CA-2011-103940,9/17/2011,57.93
Bradley Nguyen,BN-11515,CA-2011-103940,9/17/2011,137.24
Matt Connell,MC-17605,CA-2011-103989,3/19/2011,4.99
Matt Connell,MC-17605,CA-2011-103989,3/19/2011,11.81
Matt Connell,MC-17605,CA-2011-103989,3/19/2011,20.02
Matt Connell,MC-17605,CA-2011-103989,3/19/2011,26.16
Matt Connell,MC-17605,CA-2011-103989,3/19/2011,33.57
Matt Connell,MC-17605,CA-2011-103989,3/19/2011,170.24
Matt Connell,MC-17605,CA-2011-103989,3/19/2011,323.98
Janet Molinari,JM-15265,CA-2011-104178,8/25/2011,6.28
Janet Molinari,JM-15265,CA-2011-104178,8/25/2011,25.92
Janet Molinari,JM-15265,CA-2011-104178,8/25/2011,48.84
Janet Molinari,JM-15265,CA-2011-104178,8/25/2011,95.1
Dave Brooks,DB-13060,CA-2011-104269,3/1/2011,457.57
Liz MacKendrick,LM-17065,CA-2011-104283,6/27/2011,85.98
Liz MacKendrick,LM-17065,CA-2011-104283,6/27/2011,223.96
Liz MacKendrick,LM-17065,CA-2011-104283,6/27/2011,306.2
Duane Benoit,DB-13660,CA-2011-104402,6/17/2011,65.97
Christine Kargatis,CK-12325,CA-2011-104472,6/2/2011,59.81
Christine Kargatis,CK-12325,CA-2011-104472,6/2/2011,73.32
Craig Molinari,CM-12715,CA-2011-104563,3/7/2011,20.65
Craig Molinari,CM-12715,CA-2011-104563,3/7/2011,204.9
Craig Molinari,CM-12715,CA-2011-104563,3/7/2011,436.7
Craig Molinari,CM-12715,CA-2011-104563,3/7/2011,481.57
Stefania Perrino,SP-20620,CA-2011-104738,12/30/2011,2.29
Stefania Perrino,SP-20620,CA-2011-104738,12/30/2011,12.98
Stefania Perrino,SP-20620,CA-2011-104738,12/30/2011,47.98
Stefania Perrino,SP-20620,CA-2011-104738,12/30/2011,217.58
Stefania Perrino,SP-20620,CA-2011-104738,12/30/2011,328.78
Thomas Boland,TB-21175,CA-2011-104773,12/8/2011,60.42
Bradley Talbott,BT-11530,CA-2011-104780,5/21/2011,31.84
Mark Haberlin,MH-17440,CA-2011-104808,2/5/2011,17.25
John Grady,JG-15805,CA-2011-104829,11/18/2011,21.98
Cyma Kinney,CK-12760,CA-2011-104976,12/9/2011,34.68
Sam Zeldin,SZ-20035,CA-2011-105165,9/7/2011,21.86
Sam Zeldin,SZ-20035,CA-2011-105165,9/7/2011,46.69
Sam Zeldin,SZ-20035,CA-2011-105165,9/7/2011,200.8
Paul Knutson,PK-18910,CA-2011-105172,4/4/2011,18.9
Duane Huffman,DH-13675,CA-2011-105249,11/28/2011,7.36
Duane Huffman,DH-13675,CA-2011-105249,11/28/2011,41.4
Duane Huffman,DH-13675,CA-2011-105249,11/28/2011,411.33
Arthur Prichep,AP-10915,CA-2011-105270,11/11/2011,30.48
Arthur Prichep,AP-10915,CA-2011-105270,11/11/2011,112.65
Evan Henry,EH-14185,CA-2011-105340,11/22/2011,6.93
Vivek Sundaresam,VS-21820,CA-2011-105417,1/8/2011,76.73
Vivek Sundaresam,VS-21820,CA-2011-105417,1/8/2011,170.98
Eva Jacobs,EJ-14155,CA-2011-105648,3/3/2011,626.35
James Galang,JG-15160,CA-2011-105872,5/30/2011,70.37
Pete Kriz,PK-19075,CA-2011-105893,11/11/2011,665.88
Nick Radford,NR-18550,CA-2011-106229,6/7/2011,268.94
Clytie Kelty,CK-12595,CA-2011-106264,12/26/2011,3.48
Clytie Kelty,CK-12595,CA-2011-106264,12/26/2011,11.91
Brendan Sweed,BS-11590,CA-2011-106376,12/5/2011,167.97
Brendan Sweed,BS-11590,CA-2011-106376,12/5/2011,"1,113.02"
Greg Guthrie,GG-14650,CA-2011-106439,10/31/2011,11.34
Greg Guthrie,GG-14650,CA-2011-106439,10/31/2011,12.39
Greg Guthrie,GG-14650,CA-2011-106439,10/31/2011,80.3
Greg Guthrie,GG-14650,CA-2011-106439,10/31/2011,146.35
Greg Guthrie,GG-14650,CA-2011-106439,10/31/2011,251.91
Greg Guthrie,GG-14650,CA-2011-106439,10/31/2011,405.64
Nora Preis,NP-18700,CA-2011-106572,9/5/2011,264.32
Roland Schwarz,RS-19765,CA-2011-106726,12/6/2011,"1,261.33"
Debra Catini,DC-13285,CA-2011-106803,12/29/2011,24.56
Debra Catini,DC-13285,CA-2011-106803,12/29/2011,119.8
Anthony Johnson,AJ-10795,CA-2011-106810,5/14/2011,310.88
Bryan Mills,BM-11785,CA-2011-106971,9/2/2011,475.94
Dennis Pardue,DP-13390,CA-2011-107139,7/5/2011,180.96
George Zrebassa,GZ-14545,CA-2011-107153,9/28/2011,46.26
Deborah Brumfield,DB-13270,CA-2011-107181,2/5/2011,82.9
Brendan Sweed,BS-11590,CA-2011-107398,8/25/2011,2.86
Brendan Sweed,BS-11590,CA-2011-107398,8/25/2011,6.53
Brendan Sweed,BS-11590,CA-2011-107398,8/25/2011,20.86
Roger Demir,RD-19720,CA-2011-107454,11/2/2011,34.86
Roger Demir,RD-19720,CA-2011-107454,11/2/2011,89.34
Kristina Nunn,KN-16705,CA-2011-107524,3/2/2011,11.36
Kristina Nunn,KN-16705,CA-2011-107524,3/2/2011,36.4
Philip Brown,PB-19150,CA-2011-107573,12/12/2011,23.47
Eric Hoffmann,EH-13945,CA-2011-107594,7/2/2011,5.58
Eric Hoffmann,EH-13945,CA-2011-107594,7/2/2011,73.98
Shui Tom,ST-20530,CA-2011-107706,2/15/2011,16.18
Cyma Kinney,CK-12760,CA-2011-107755,2/8/2011,115.36
Bill Tyler,BT-11395,CA-2011-107769,10/28/2011,257.98
Laura Armstrong,LA-16780,CA-2011-107811,4/29/2011,99.92
Laura Armstrong,LA-16780,CA-2011-107811,4/29/2011,561.58
Marc Crier,MC-17275,CA-2011-107818,9/8/2011,5.88
Marc Crier,MC-17275,CA-2011-107818,9/8/2011,303.84
Marc Crier,MC-17275,CA-2011-107818,9/8/2011,485.88
Marc Crier,MC-17275,CA-2011-107818,9/8/2011,975.92
Jennifer Patt,JP-15460,CA-2011-107916,8/24/2011,12.67
Jennifer Patt,JP-15460,CA-2011-107916,8/24/2011,13.28
Rick Duston,RD-19480,CA-2011-108147,6/8/2011,68.48
Rick Duston,RD-19480,CA-2011-108147,6/8/2011,"1,676.88"
Delfina Latchford,DL-13315,CA-2011-108182,2/7/2011,8.95
Erin Smith,ES-14080,CA-2011-108189,10/2/2011,4.67
Erin Smith,ES-14080,CA-2011-108189,10/2/2011,7.16
Erin Smith,ES-14080,CA-2011-108189,10/2/2011,12.77
Erin Smith,ES-14080,CA-2011-108189,10/2/2011,15.36
Erin Smith,ES-14080,CA-2011-108189,10/2/2011,230.38
Erin Smith,ES-14080,CA-2011-108189,10/2/2011,318.4
Ed Jacobs,EJ-13720,CA-2011-108273,12/16/2011,36.29
Ed Jacobs,EJ-13720,CA-2011-108273,12/16/2011,56.57
Anthony Jacobs,AJ-10780,CA-2011-108609,10/31/2011,"1,421.66"
Daniel Byrd,DB-12910,CA-2011-108707,10/24/2011,10.37
Magdelene Morse,MM-17260,CA-2011-108861,5/28/2011,136.96
Denny Ordway,DO-13435,CA-2011-108903,10/3/2011,14.48
Denny Ordway,DO-13435,CA-2011-108903,10/3/2011,55.98
Denny Ordway,DO-13435,CA-2011-108903,10/3/2011,142.49
Christine Sundaresam,CS-12355,CA-2011-109043,8/15/2011,91.36
Christine Sundaresam,CS-12355,CA-2011-109043,8/15/2011,152.24
John Castell,JC-15775,CA-2011-109127,12/21/2011,17.28
Deanra Eno,DE-13255,CA-2011-109134,11/5/2011,20.04
Anthony Rawles,AR-10825,CA-2011-109218,6/30/2011,32.4
Natalie DeCherney,ND-18370,CA-2011-109232,1/14/2011,545.94
Charles Sheldon,CS-12175,CA-2011-109302,8/12/2011,196.21
Linda Cazamias,LC-16930,CA-2011-109491,2/21/2011,20.32
Linda Cazamias,LC-16930,CA-2011-109491,2/21/2011,62.31
Victoria Pisteka,VP-21760,CA-2011-109680,10/6/2011,386.34
Lena Hernandez,LH-16900,CA-2011-109855,9/1/2011,23.74
Lena Hernandez,LH-16900,CA-2011-109855,9/1/2011,357
Patrick Gardner,PG-18820,CA-2011-109890,7/21/2011,35.98
Ben Wallace,BW-11200,CA-2011-109897,8/12/2011,85.44
Ben Wallace,BW-11200,CA-2011-109897,8/12/2011,806.34
Barbara Fisher,BF-10975,CA-2011-109904,7/14/2011,17.94
Lisa Ryan,LR-17035,CA-2011-109918,9/7/2011,83.92
Victoria Pisteka,VP-21760,CA-2011-109932,12/9/2011,10.69
Victoria Pisteka,VP-21760,CA-2011-109932,12/9/2011,237.1
Luke Foster,LF-17185,CA-2011-110030,12/6/2011,23.98
Stephanie Phelps,SP-20650,CA-2011-110065,8/5/2011,15.96
Stephanie Phelps,SP-20650,CA-2011-110065,8/5/2011,135.99
Maureen Gastineau,MG-17680,CA-2011-110072,10/22/2011,93.89
Lena Creighton,LC-16885,CA-2011-110100,4/25/2011,302.38
Ben Ferrer,BF-11170,CA-2011-110184,7/12/2011,249.75
Ben Ferrer,BF-11170,CA-2011-110184,7/12/2011,255.94
Emily Burns,EB-13870,CA-2011-110219,5/5/2011,127.87
Emily Ducich,ED-13885,CA-2011-110352,11/23/2011,23.68
Alan Schoenberger,AS-10225,CA-2011-110408,10/18/2011,275.97
Alan Schoenberger,AS-10225,CA-2011-110408,10/18/2011,545.88
Alan Schoenberger,AS-10225,CA-2011-110408,10/18/2011,"1,394.95"
Tom Boeckenhauer,TB-21400,CA-2011-110422,1/22/2011,25.25
Emily Ducich,ED-13885,CA-2011-110527,8/9/2011,20.88
Michelle Moray,MM-18055,CA-2011-110555,4/11/2011,87.08
Michelle Moray,MM-18055,CA-2011-110555,4/11/2011,105.58
Michelle Moray,MM-18055,CA-2011-110555,4/11/2011,217.44
Joy Daniels,JD-16015,CA-2011-110611,10/6/2011,83.92
Rick Hansen,RH-19495,CA-2011-110639,8/23/2011,25.92
Rick Hansen,RH-19495,CA-2011-110639,8/23/2011,45.92
Anthony Johnson,AJ-10795,CA-2011-110786,12/29/2011,14.35
Anthony Johnson,AJ-10795,CA-2011-110786,12/29/2011,21.12
Anthony Johnson,AJ-10795,CA-2011-110786,12/29/2011,24.9
Anthony Johnson,AJ-10795,CA-2011-110786,12/29/2011,70.56
Anthony Johnson,AJ-10795,CA-2011-110786,12/29/2011,191.98
Anthony Johnson,AJ-10795,CA-2011-110786,12/29/2011,274.77
Anthony Johnson,AJ-10795,CA-2011-110786,12/29/2011,767.95
John Lee,JL-15835,CA-2011-110849,4/18/2011,10.75
John Lee,JL-15835,CA-2011-110849,4/18/2011,11.62
John Lee,JL-15835,CA-2011-110849,4/18/2011,13.12
John Lee,JL-15835,CA-2011-110849,4/18/2011,287.97
Corey Roper,CR-12625,CA-2011-111003,6/1/2011,45.48
Corey Roper,CR-12625,CA-2011-111003,6/1/2011,289.2
Tom Boeckenhauer,TB-21400,CA-2011-111059,2/4/2011,13.27
Tom Boeckenhauer,TB-21400,CA-2011-111059,2/4/2011,83.84
Rob Williams,RW-19630,CA-2011-111150,12/31/2011,29.68
Rob Williams,RW-19630,CA-2011-111150,12/31/2011,47.53
Nicole Hansen,NH-18610,CA-2011-111157,3/2/2011,3.42
Nicole Hansen,NH-18610,CA-2011-111157,3/2/2011,151.2
Tom Stivers,TS-21430,CA-2011-111192,7/30/2011,"1,367.84"
Alyssa Tate,AT-10435,CA-2011-111360,11/24/2011,5.74
Kelly Lampkin,KL-16555,CA-2011-111451,12/26/2011,27.55
Kelly Lampkin,KL-16555,CA-2011-111451,12/26/2011,78.6
Kelly Lampkin,KL-16555,CA-2011-111451,12/26/2011,218.35
Kelly Lampkin,KL-16555,CA-2011-111451,12/26/2011,230.35
Kelly Lampkin,KL-16555,CA-2011-111451,12/26/2011,300.42
Don Jones,DJ-13510,CA-2011-111500,8/17/2011,12.67
Don Jones,DJ-13510,CA-2011-111500,8/17/2011,17.96
Don Jones,DJ-13510,CA-2011-111500,8/17/2011,114.2
Don Jones,DJ-13510,CA-2011-111500,8/17/2011,339.96
Jim Karlsson,JK-15625,CA-2011-111773,6/29/2011,13.92
Nathan Mautz,NM-18445,CA-2011-111857,4/23/2011,48.91
Eileen Kiefer,EK-13795,CA-2011-111871,3/18/2011,"1,198.33"
Nat Carroll,NC-18340,CA-2011-111899,5/4/2011,5.47
Nat Carroll,NC-18340,CA-2011-111899,5/4/2011,37.84
Giulietta Dortch,GD-14590,CA-2011-111934,5/5/2011,11.88
Giulietta Dortch,GD-14590,CA-2011-111934,5/5/2011,35.44
Evan Bailliet,EB-14170,CA-2011-111962,9/29/2011,10.05
Evan Bailliet,EB-14170,CA-2011-111962,9/29/2011,807.75
David Philippe,DP-13165,CA-2011-112158,12/2/2011,46.72
David Philippe,DP-13165,CA-2011-112158,12/2/2011,119.96
David Philippe,DP-13165,CA-2011-112158,12/2/2011,883.92
Katrina Edelman,KE-16420,CA-2011-112291,4/3/2011,11.16
Katrina Edelman,KE-16420,CA-2011-112291,4/3/2011,62.31
Katrina Edelman,KE-16420,CA-2011-112291,4/3/2011,159.98
Phillina Ober,PO-19195,CA-2011-112326,1/5/2011,3.54
Phillina Ober,PO-19195,CA-2011-112326,1/5/2011,11.78
Phillina Ober,PO-19195,CA-2011-112326,1/5/2011,272.74
Kean Nguyen,KN-16450,CA-2011-112718,12/16/2011,1.17
Liz Willingham,LW-17125,CA-2011-112837,9/11/2011,127.95
Arthur Prichep,AP-10915,CA-2011-113047,10/24/2011,11.85
Luke Foster,LF-17185,CA-2011-113166,12/24/2011,9.57
Sean Christensen,SC-20305,CA-2011-113257,12/16/2011,8.62
Sean Christensen,SC-20305,CA-2011-113257,12/16/2011,319.97
Darrin Sayre,DS-13030,CA-2011-113271,7/9/2011,5.56
Darrin Sayre,DS-13030,CA-2011-113271,7/9/2011,14.3
Darrin Sayre,DS-13030,CA-2011-113271,7/9/2011,32.4
Darrin Sayre,DS-13030,CA-2011-113271,7/9/2011,119.83
Logan Haushalter,LH-17155,CA-2011-113320,12/12/2011,8.94
Logan Haushalter,LH-17155,CA-2011-113320,12/12/2011,9.24
Logan Haushalter,LH-17155,CA-2011-113320,12/12/2011,12.54
Astrea Jones,AJ-10960,CA-2011-113362,9/14/2011,11.07
Astrea Jones,AJ-10960,CA-2011-113362,9/14/2011,449.15
Sandra Flanagan,SF-20065,CA-2011-113383,9/10/2011,81.92
Katherine Ducich,KD-16345,CA-2011-113579,12/13/2011,90.24
Aaron Hawkins,AH-10030,CA-2011-113768,5/13/2011,8
Aaron Hawkins,AH-10030,CA-2011-113768,5/13/2011,279.46
Becky Castell,BC-11125,CA-2011-113859,9/13/2011,340.12
Vicky Freymann,VF-21715,CA-2011-113880,3/1/2011,17.47
Vicky Freymann,VF-21715,CA-2011-113880,3/1/2011,634.12
Tracy Hopkins,TH-21550,CA-2011-113887,4/5/2011,55.48
Chloris Kastensmidt,CK-12205,CA-2011-113929,6/16/2011,35
Chloris Kastensmidt,CK-12205,CA-2011-113929,6/16/2011,39.55
Chloris Kastensmidt,CK-12205,CA-2011-113929,6/16/2011,41.4
Julie Prescott,JP-16135,CA-2011-113964,9/23/2011,18.46
Gary Hansen,GH-14410,CA-2011-114125,7/9/2011,2.88
Gary Hansen,GH-14410,CA-2011-114125,7/9/2011,23.92
Gary Hansen,GH-14410,CA-2011-114125,7/9/2011,41.9
Art Foster,AF-10885,CA-2011-114181,5/10/2011,22.32
Art Foster,AF-10885,CA-2011-114181,5/10/2011,349.97
Erin Ashbrook,EA-14035,CA-2011-114195,11/1/2011,3.13
Erin Ashbrook,EA-14035,CA-2011-114195,11/1/2011,22.43
Erin Ashbrook,EA-14035,CA-2011-114195,11/1/2011,68.7
Maribeth Dona,MD-17350,CA-2011-114251,11/5/2011,13.19
Maribeth Dona,MD-17350,CA-2011-114251,11/5/2011,51.56
Maribeth Dona,MD-17350,CA-2011-114251,11/5/2011,58.42
Maribeth Dona,MD-17350,CA-2011-114251,11/5/2011,273.57
Maribeth Dona,MD-17350,CA-2011-114251,11/5/2011,"1,080.10"
Dorothy Badders,DB-13555,CA-2011-114314,10/11/2011,7.31
Dorothy Badders,DB-13555,CA-2011-114314,10/11/2011,8.92
Nick Crebassa,NC-18535,CA-2011-114321,8/20/2011,20.12
Nick Crebassa,NC-18535,CA-2011-114321,8/20/2011,500.24
Nick Crebassa,NC-18535,CA-2011-114321,8/20/2011,896.99
Xylona Preis,XP-21865,CA-2011-114335,9/28/2011,337.09
Naresj Patel,NP-18325,CA-2011-114433,5/13/2011,149.97
Jason Fortune-,JF-15295,CA-2011-114510,3/14/2011,21.36
Jason Fortune-,JF-15295,CA-2011-114510,3/14/2011,33.09
Jason Fortune-,JF-15295,CA-2011-114510,3/14/2011,62.05
Jason Fortune-,JF-15295,CA-2011-114510,3/14/2011,80.98
Jason Fortune-,JF-15295,CA-2011-114510,3/14/2011,82.8
Tiffany House,TH-21235,CA-2011-114517,12/23/2011,53.32
Tiffany House,TH-21235,CA-2011-114517,12/23/2011,56.52
Filia McAdams,FM-14215,CA-2011-114643,6/13/2011,14.52
Filia McAdams,FM-14215,CA-2011-114790,3/11/2011,14.94
Filia McAdams,FM-14215,CA-2011-114790,3/11/2011,32.96
Filia McAdams,FM-14215,CA-2011-114790,3/11/2011,146.76
Filia McAdams,FM-14215,CA-2011-114790,3/11/2011,587.97
Michael Moore,MM-17920,CA-2011-115049,9/26/2011,153.82
Andrew Roberts,AR-10510,CA-2011-115056,5/2/2011,26.14
Luke Schmidt,LS-17200,CA-2011-115084,10/18/2011,605.34
Dianna Arnett,DA-13450,CA-2011-115133,9/26/2011,3.15
Dianna Arnett,DA-13450,CA-2011-115133,9/26/2011,16.7
Liz Carlisle,LC-17050,CA-2011-115161,2/1/2011,290.67
Ryan Crowe,RC-19960,CA-2011-115259,8/25/2011,4.72
Ryan Crowe,RC-19960,CA-2011-115259,8/25/2011,23.98
Ryan Crowe,RC-19960,CA-2011-115259,8/25/2011,40.1
Ryan Crowe,RC-19960,CA-2011-115259,8/25/2011,130.46
Ann Blume,AB-10600,CA-2011-115336,11/18/2011,14.48
Roland Fjeld,RF-19735,CA-2011-115357,8/6/2011,62.91
Delfina Latchford,DL-13315,CA-2011-115791,1/17/2011,18.59
Delfina Latchford,DL-13315,CA-2011-115791,1/17/2011,30.07
Delfina Latchford,DL-13315,CA-2011-115791,1/17/2011,124.2
Delfina Latchford,DL-13315,CA-2011-115791,1/17/2011,127.1
Brosina Hoffman,BH-11710,CA-2011-115812,6/9/2011,7.28
Brosina Hoffman,BH-11710,CA-2011-115812,6/9/2011,18.5
Brosina Hoffman,BH-11710,CA-2011-115812,6/9/2011,48.86
Brosina Hoffman,BH-11710,CA-2011-115812,6/9/2011,114.9
Brosina Hoffman,BH-11710,CA-2011-115812,6/9/2011,907.15
Brosina Hoffman,BH-11710,CA-2011-115812,6/9/2011,911.42
Brosina Hoffman,BH-11710,CA-2011-115812,6/9/2011,"1,706.18"
Shahid Hopkins,SH-20395,CA-2011-115889,11/2/2011,46.38
Shahid Hopkins,SH-20395,CA-2011-115889,11/2/2011,362.92
Nathan Gelder,NG-18430,CA-2011-115973,11/24/2011,2.62
Victoria Wilson,VW-21775,CA-2011-115980,7/15/2011,2.97
Victoria Wilson,VW-21775,CA-2011-115980,7/15/2011,6.54
Sheri Gordon,SG-20470,CA-2011-116190,7/26/2011,25.71
Sheri Gordon,SG-20470,CA-2011-116190,7/26/2011,67.88
Sheri Gordon,SG-20470,CA-2011-116190,7/26/2011,162.89
Clay Ludtke,CL-12565,CA-2011-116239,3/4/2011,354.9
Luke Weiss,LW-17215,CA-2011-116246,9/12/2011,"3,785.29"
Jamie Frazer,JF-15190,CA-2011-116407,11/15/2011,4.22
Jamie Frazer,JF-15190,CA-2011-116407,11/15/2011,24.9
Jamie Frazer,JF-15190,CA-2011-116407,11/15/2011,333.06
Bryan Mills,BM-11785,CA-2011-116568,12/14/2011,186.3
Michael Stewart,MS-17980,CA-2011-116757,6/30/2011,21.31
Michael Stewart,MS-17980,CA-2011-116757,6/30/2011,25.92
Marc Harrigan,MH-17290,CA-2011-116785,4/26/2011,12.6
Marc Harrigan,MH-17290,CA-2011-116785,4/26/2011,21.4
Dean percer,Dp-13240,CA-2011-116834,10/11/2011,63.47
